Assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Species	Genera	strain
GCF_000394835.1	PRJNA224116	SAMN00809214	AJEB00000000.1	na	1158655	1351	Enterococcus faecalis EnGen0307	strain=SF370	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_SF370_V1	Broad Institute	GCA_000394835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/835/GCF_000394835.1_Ente_faec_SF370_V1	NA	NA	faecalis	Enterococcus	SF370
GCF_000394855.1	PRJNA224116	SAMN00809215	AJEC00000000.1	na	1158656	1351	Enterococcus faecalis EnGen0280	strain=CH570	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_CH570_V1	Broad Institute	GCA_000394855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/855/GCF_000394855.1_Ente_faec_CH570_V1	NA	NA	faecalis	Enterococcus	CH570
GCF_000394875.1	PRJNA224116	SAMN00809216	AJED00000000.1	na	1158657	1351	Enterococcus faecalis EnGen0303	strain=Ned10	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_Ned10_V1	Broad Institute	GCA_000394875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/875/GCF_000394875.1_Ente_faec_Ned10_V1	NA	NA	faecalis	Enterococcus	Ned10
GCF_000394895.1	PRJNA224116	SAMN00809217	AJEE00000000.1	na	1158658	1351	Enterococcus faecalis EnGen0298	strain=SF105	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_SF105_V1	Broad Institute	GCA_000394895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/895/GCF_000394895.1_Ente_faec_SF105_V1	NA	NA	faecalis	Enterococcus	SF105
GCF_000394915.1	PRJNA224116	SAMN00809218	AJEF00000000.1	na	749509	1351	Enterococcus faecalis EnGen0311	strain=WH245	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_WH245_V1	Broad Institute	GCA_000394915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/915/GCF_000394915.1_Ente_faec_WH245_V1	NA	NA	faecalis	Enterococcus	WH245
GCF_000394935.1	PRJNA224116	SAMN00809219	AJEG00000000.1	na	1158660	1351	Enterococcus faecalis EnGen0302	strain=CH116	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_CH116_V1	Broad Institute	GCA_000394935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/935/GCF_000394935.1_Ente_faec_CH116_V1	NA	NA	faecalis	Enterococcus	CH116
GCF_000394955.1	PRJNA224116	SAMN00809220	AJEH00000000.1	na	1158661	1351	Enterococcus faecalis EnGen0306	strain=CH136	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_CH136_V1	Broad Institute	GCA_000394955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/955/GCF_000394955.1_Ente_faec_CH136_V1	NA	NA	faecalis	Enterococcus	CH136
GCF_000394975.1	PRJNA224116	SAMN00809222	AJEI00000000.1	na	1158662	1351	Enterococcus faecalis EnGen0291	strain=T16	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_T16_V1	Broad Institute	GCA_000394975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/975/GCF_000394975.1_Ente_faec_T16_V1	NA	NA	faecalis	Enterococcus	T16
GCF_000394995.1	PRJNA224116	SAMN00809223	AJEJ00000000.1	na	1158663	1351	Enterococcus faecalis EnGen0282	strain=T13	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_T13_V1	Broad Institute	GCA_000394995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/394/995/GCF_000394995.1_Ente_faec_T13_V1	NA	NA	faecalis	Enterococcus	T13
GCF_000395015.1	PRJNA224116	SAMN00809224	AJEK00000000.1	na	525271	1351	Enterococcus faecalis ATCC 29200	strain=ATCC 29200	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_ATCC_29200_V1	Broad Institute	GCA_000395015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/015/GCF_000395015.1_Ente_faec_ATCC_29200_V1	NA	NA	faecalis	Enterococcus	ATCC_29200
GCF_000395035.1	PRJNA224116	SAMN00809225	AJEL00000000.1	na	1158664	1351	Enterococcus faecalis EnGen0279	strain=12107	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_12107_V1	Broad Institute	GCA_000395035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/035/GCF_000395035.1_Ente_faec_12107_V1	NA	NA	faecalis	Enterococcus	12107
GCF_000395055.1	PRJNA224116	SAMN00809226	AJEM00000000.1	na	1158665	1351	Enterococcus faecalis EnGen0304	strain=SF24396	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_SF24396_V1	Broad Institute	GCA_000395055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/055/GCF_000395055.1_Ente_faec_SF24396_V1	NA	NA	faecalis	Enterococcus	SF24396
GCF_000395075.1	PRJNA224116	SAMN00809227	AJEN00000000.1	na	1158666	1351	Enterococcus faecalis EnGen0281	strain=Pan7	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_Pan7_V1	Broad Institute	GCA_000395075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/075/GCF_000395075.1_Ente_faec_Pan7_V1	NA	NA	faecalis	Enterococcus	Pan7
GCF_000395095.1	PRJNA224116	SAMN00809228	AJEO00000000.1	na	1158667	1351	Enterococcus faecalis EnGen0287	strain=YI6-1	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_YI6-1_V1	Broad Institute	GCA_000395095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/095/GCF_000395095.1_Ente_faec_YI6-1_V1	NA	NA	faecalis	Enterococcus	YI6_1
GCF_000395115.1	PRJNA224116	SAMN00809229	AJEP00000000.1	na	1158668	1351	Enterococcus faecalis EnGen0300	strain=SF21521	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_SF21521_V1	Broad Institute	GCA_000395115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/115/GCF_000395115.1_Ente_faec_SF21521_V1	NA	NA	faecalis	Enterococcus	SF21521
GCF_000395135.1	PRJNA224116	SAMN00809230	AJEQ00000000.1	na	1158669	1351	Enterococcus faecalis EnGen0295	strain=T21	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_T21_V1	Broad Institute	GCA_000395135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/135/GCF_000395135.1_Ente_faec_T21_V1	NA	NA	faecalis	Enterococcus	T21
GCF_000395175.1	PRJNA224116	SAMN00809233	AJES00000000.1	na	1158671	1351	Enterococcus faecalis EnGen0284	strain=Com1	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_Com1_V1	Broad Institute	GCA_000395175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/175/GCF_000395175.1_Ente_faec_Com1_V1	NA	NA	faecalis	Enterococcus	Com1
GCF_000395245.1	PRJNA224116	SAMN00809237	AJEW00000000.1	na	1158675	1351	Enterococcus faecalis ATCC 27275	strain=ATCC 27275	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_ATCC_27275_V1	Broad Institute	GCA_000395245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/245/GCF_000395245.1_Ente_faec_ATCC_27275_V1	NA	NA	faecalis	Enterococcus	ATCC_27275
GCF_000395265.1	PRJNA224116	SAMN00809238	AJEX00000000.1	na	1158676	1351	Enterococcus faecalis ATCC 27959	strain=ATCC 27959	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_ATCC_27959_V1	Broad Institute	GCA_000395265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/265/GCF_000395265.1_Ente_faec_ATCC_27959_V1	NA	NA	faecalis	Enterococcus	ATCC_27959
GCF_000395285.1	PRJNA224116	SAMN00809239	AJEY00000000.1	na	1158677	1351	Enterococcus faecalis EnGen0289	strain=DS16	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_DS16_V1	Broad Institute	GCA_000395285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/285/GCF_000395285.1_Ente_faec_DS16_V1	NA	NA	faecalis	Enterococcus	DS16
GCF_000395305.1	PRJNA224116	SAMN00809240	AJEZ00000000.1	na	1158678	1351	Enterococcus faecalis EnGen0285	strain=RC73	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_RC73_V1	Broad Institute	GCA_000395305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/305/GCF_000395305.1_Ente_faec_RC73_V1	NA	NA	faecalis	Enterococcus	RC73
GCF_000395365.1	PRJNA224116	SAMN00839772	ASEO00000000.1	na	1169252	1351	Enterococcus faecalis EnGen0335	strain=SF5039	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_SF5039_V1	Broad Institute	GCA_000395365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/365/GCF_000395365.1_Ente_faec_SF5039_V1	NA	NA	faecalis	Enterococcus	SF5039
GCF_000395385.1	PRJNA224116	SAMN00809236	AJEV00000000.1	na	1158674	1351	Enterococcus faecalis EnGen0290	strain=RM3817	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_RM3817_V1	Broad Institute	GCA_000395385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/385/GCF_000395385.1_Ente_faec_RM3817_V1	NA	NA	faecalis	Enterococcus	RM3817
GCF_000395405.1	PRJNA224116	SAMN00809231	AJER00000000.1	na	1158670	1351	Enterococcus faecalis EnGen0283	strain=5952	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_5952_V1	Broad Institute	GCA_000395405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/405/GCF_000395405.1_Ente_faec_5952_V1	NA	NA	faecalis	Enterococcus	5952
GCF_000395985.1	PRJNA224116	SAMN00808871	AIPS00000000.1	na	1157378	1351	Enterococcus faecalis EnGen0194	strain=B1005	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1005_V1	Broad Institute	GCA_000395985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/985/GCF_000395985.1_Ente_faec_B1005_V1	NA	NA	faecalis	Enterococcus	B1005
GCF_000396005.1	PRJNA224116	SAMN00808872	AIPT00000000.1	na	1157379	1351	Enterococcus faecalis EnGen0195	strain=B1138	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1138_V1	Broad Institute	GCA_000396005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/005/GCF_000396005.1_Ente_faec_B1138_V1	NA	NA	faecalis	Enterococcus	B1138
GCF_000396025.1	PRJNA224116	SAMN00808873	AIPU00000000.1	na	1157380	1351	Enterococcus faecalis EnGen0196	strain=B1249	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1249_V1	Broad Institute	GCA_000396025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/025/GCF_000396025.1_Ente_faec_B1249_V1	NA	NA	faecalis	Enterococcus	B1249
GCF_000396045.1	PRJNA224116	SAMN00808874	AIQG00000000.1	na	1157381	1351	Enterococcus faecalis EnGen0197	strain=B1851	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1851_V1	Broad Institute	GCA_000396045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/045/GCF_000396045.1_Ente_faec_B1851_V1	NA	NA	faecalis	Enterococcus	B1851
GCF_000396065.1	PRJNA224116	SAMN00808875	AIQI00000000.1	na	1157382	1351	Enterococcus faecalis EnGen0198	strain=B1921	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1921_V1	Broad Institute	GCA_000396065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/065/GCF_000396065.1_Ente_faec_B1921_V1	NA	NA	faecalis	Enterococcus	B1921
GCF_000396085.1	PRJNA224116	SAMN00808876	AIQJ00000000.1	na	1157383	1351	Enterococcus faecalis EnGen0199	strain=B1933	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B1933_V1	Broad Institute	GCA_000396085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/085/GCF_000396085.1_Ente_faec_B1933_V1	NA	NA	faecalis	Enterococcus	B1933
GCF_000396105.1	PRJNA224116	SAMN00808877	AIQK00000000.1	na	1157384	1351	Enterococcus faecalis EnGen0200	strain=B2202	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2202_V1	Broad Institute	GCA_000396105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/105/GCF_000396105.1_Ente_faec_B2202_V1	NA	NA	faecalis	Enterococcus	B2202
GCF_000396125.1	PRJNA224116	SAMN00808878	AIQM00000000.1	na	1157385	1351	Enterococcus faecalis EnGen0201	strain=B2211	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2211_V1	Broad Institute	GCA_000396125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/125/GCF_000396125.1_Ente_faec_B2211_V1	NA	NA	faecalis	Enterococcus	B2211
GCF_000396145.1	PRJNA224116	SAMN00808879	AIQO00000000.1	na	1157386	1351	Enterococcus faecalis EnGen0202	strain=B2277	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2277_V1	Broad Institute	GCA_000396145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/145/GCF_000396145.1_Ente_faec_B2277_V1	NA	NA	faecalis	Enterococcus	B2277
GCF_000396165.1	PRJNA224116	SAMN00808881	AIQU00000000.1	na	1157387	1351	Enterococcus faecalis EnGen0203	strain=B2670	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2670_V1	Broad Institute	GCA_000396165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/165/GCF_000396165.1_Ente_faec_B2670_V1	NA	NA	faecalis	Enterococcus	B2670
GCF_000396185.1	PRJNA224116	SAMN00808882	AIQV00000000.1	na	1157388	1351	Enterococcus faecalis EnGen0204	strain=B2685	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2685_V1	Broad Institute	GCA_000396185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/185/GCF_000396185.1_Ente_faec_B2685_V1	NA	NA	faecalis	Enterococcus	B2685
GCF_000396205.1	PRJNA224116	SAMN00808883	AIQW00000000.1	na	1157389	1351	Enterococcus faecalis EnGen0207	strain=B2687	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2687_V1	Broad Institute	GCA_000396205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/205/GCF_000396205.1_Ente_faec_B2687_V1	NA	NA	faecalis	Enterococcus	B2687
GCF_000396225.1	PRJNA224116	SAMN00808884	AIQX00000000.1	na	1157390	1351	Enterococcus faecalis EnGen0205	strain=B2802	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2802_V1	Broad Institute	GCA_000396225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/225/GCF_000396225.1_Ente_faec_B2802_V1	NA	NA	faecalis	Enterococcus	B2802
GCF_000396245.1	PRJNA224116	SAMN00808885	AIQY00000000.1	na	1157391	1351	Enterococcus faecalis EnGen0228	strain=B2813	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2813_V1	Broad Institute	GCA_000396245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/245/GCF_000396245.1_Ente_faec_B2813_V1	NA	NA	faecalis	Enterococcus	B2813
GCF_000396265.1	PRJNA224116	SAMN00808886	AIQZ00000000.1	na	1157392	1351	Enterococcus faecalis EnGen0206	strain=B2864	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2864_V1	Broad Institute	GCA_000396265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/265/GCF_000396265.1_Ente_faec_B2864_V1	NA	NA	faecalis	Enterococcus	B2864
GCF_000396285.1	PRJNA224116	SAMN00808887	AIRA00000000.1	na	1157393	1351	Enterococcus faecalis EnGen0374	strain=B2867	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2867_V1	Broad Institute	GCA_000396285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/285/GCF_000396285.1_Ente_faec_B2867_V1	NA	NA	faecalis	Enterococcus	B2867
GCF_000396305.1	PRJNA224116	SAMN00808888	AIRB00000000.1	na	1157394	1351	Enterococcus faecalis EnGen0208	strain=B2949	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B2949_V1	Broad Institute	GCA_000396305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/305/GCF_000396305.1_Ente_faec_B2949_V1	NA	NA	faecalis	Enterococcus	B2949
GCF_000396325.1	PRJNA224116	SAMN00808889	AIRF00000000.1	na	1157395	1351	Enterococcus faecalis EnGen0209	strain=B3119	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B3119_V1	Broad Institute	GCA_000396325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/325/GCF_000396325.1_Ente_faec_B3119_V1	NA	NA	faecalis	Enterococcus	B3119
GCF_000396345.1	PRJNA224116	SAMN00808890	AIRH00000000.1	na	1157396	1351	Enterococcus faecalis EnGen0210	strain=B3196	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B3196_V1	Broad Institute	GCA_000396345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/345/GCF_000396345.1_Ente_faec_B3196_V1	NA	NA	faecalis	Enterococcus	B3196
GCF_000396365.1	PRJNA224116	SAMN00808892	AIRI00000000.1	na	1157397	1351	Enterococcus faecalis EnGen0211	strain=B3286	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B3286_V1	Broad Institute	GCA_000396365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/365/GCF_000396365.1_Ente_faec_B3286_V1	NA	NA	faecalis	Enterococcus	B3286
GCF_000396385.1	PRJNA224116	SAMN00808893	AIRJ00000000.1	na	1157398	1351	Enterococcus faecalis EnGen0212	strain=B3336	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B3336_V1	Broad Institute	GCA_000396385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/385/GCF_000396385.1_Ente_faec_B3336_V1	NA	NA	faecalis	Enterococcus	B3336
GCF_000396405.1	PRJNA224116	SAMN00808894	AIRK00000000.1	na	1157399	1351	Enterococcus faecalis EnGen0213	strain=B4008	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4008_V1	Broad Institute	GCA_000396405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/405/GCF_000396405.1_Ente_faec_B4008_V1	NA	NA	faecalis	Enterococcus	B4008
GCF_000396425.1	PRJNA224116	SAMN00808895	AIRL00000000.1	na	1157400	1351	Enterococcus faecalis EnGen0214	strain=B4018	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4018_V1	Broad Institute	GCA_000396425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/425/GCF_000396425.1_Ente_faec_B4018_V1	NA	NA	faecalis	Enterococcus	B4018
GCF_000396445.1	PRJNA224116	SAMN00808896	AIRM00000000.1	na	1157401	1351	Enterococcus faecalis EnGen0215	strain=B4148	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4148_V1	Broad Institute	GCA_000396445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/445/GCF_000396445.1_Ente_faec_B4148_V1	NA	NA	faecalis	Enterococcus	B4148
GCF_000396465.1	PRJNA224116	SAMN00808897	AIRN00000000.1	na	1157402	1351	Enterococcus faecalis EnGen0216	strain=B4163	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4163_V1	Broad Institute	GCA_000396465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/465/GCF_000396465.1_Ente_faec_B4163_V1	NA	NA	faecalis	Enterococcus	B4163
GCF_000396485.1	PRJNA224116	SAMN00808898	AIRO00000000.1	na	1157403	1351	Enterococcus faecalis EnGen0217	strain=B4259	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4259_V1	Broad Institute	GCA_000396485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/485/GCF_000396485.1_Ente_faec_B4259_V1	NA	NA	faecalis	Enterococcus	B4259
GCF_000396505.1	PRJNA224116	SAMN00808899	AIRP00000000.1	na	1157404	1351	Enterococcus faecalis EnGen0218	strain=B4267	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4267_V1	Broad Institute	GCA_000396505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/505/GCF_000396505.1_Ente_faec_B4267_V1	NA	NA	faecalis	Enterococcus	B4267
GCF_000396525.1	PRJNA224116	SAMN00808900	AIRQ00000000.1	na	1157405	1351	Enterococcus faecalis EnGen0219	strain=B4270	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4270_V1	Broad Institute	GCA_000396525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/525/GCF_000396525.1_Ente_faec_B4270_V1	NA	NA	faecalis	Enterococcus	B4270
GCF_000396545.1	PRJNA224116	SAMN00808901	AIRR00000000.1	na	1157406	1351	Enterococcus faecalis EnGen0220	strain=B4411	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4411_V1	Broad Institute	GCA_000396545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/545/GCF_000396545.1_Ente_faec_B4411_V1	NA	NA	faecalis	Enterococcus	B4411
GCF_000396565.1	PRJNA224116	SAMN00808903	AIRS00000000.1	na	1157407	1351	Enterococcus faecalis EnGen0221	strain=B4568	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4568_V1	Broad Institute	GCA_000396565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/565/GCF_000396565.1_Ente_faec_B4568_V1	NA	NA	faecalis	Enterococcus	B4568
GCF_000396585.1	PRJNA224116	SAMN00808904	AIRT00000000.1	na	1157408	1351	Enterococcus faecalis EnGen0222	strain=B4638	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4638_V1	Broad Institute	GCA_000396585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/585/GCF_000396585.1_Ente_faec_B4638_V1	NA	NA	faecalis	Enterococcus	B4638
GCF_000396605.1	PRJNA224116	SAMN00808905	AIRU00000000.1	na	1157409	1351	Enterococcus faecalis EnGen0223	strain=B4672	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4672_V1	Broad Institute	GCA_000396605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/605/GCF_000396605.1_Ente_faec_B4672_V1	NA	NA	faecalis	Enterococcus	B4672
GCF_000396625.1	PRJNA224116	SAMN00808906	AIRV00000000.1	na	1157410	1351	Enterococcus faecalis EnGen0224	strain=B4674	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4674_V1	Broad Institute	GCA_000396625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/625/GCF_000396625.1_Ente_faec_B4674_V1	NA	NA	faecalis	Enterococcus	B4674
GCF_000396645.1	PRJNA224116	SAMN00808907	AIRW00000000.1	na	1157411	1351	Enterococcus faecalis EnGen0225	strain=B4969	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B4969_V1	Broad Institute	GCA_000396645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/645/GCF_000396645.1_Ente_faec_B4969_V1	NA	NA	faecalis	Enterococcus	B4969
GCF_000396665.1	PRJNA224116	SAMN00808908	AIRX00000000.1	na	1157412	1351	Enterococcus faecalis EnGen0226	strain=B5076	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_B5076_V1	Broad Institute	GCA_000396665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/665/GCF_000396665.1_Ente_faec_B5076_V1	NA	NA	faecalis	Enterococcus	B5076
GCF_000396865.1	PRJNA224116	SAMN00809097	AIZQ00000000.1	na	1158540	1351	Enterococcus faecalis EnGen0253	strain=EnGen0253	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_EnGen0253_V1	Broad Institute	GCA_000396865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/865/GCF_000396865.1_Ente_faec_EnGen0253_V1	NA	NA	faecalis	Enterococcus	EnGen0253
GCF_000396905.1	PRJNA224116	SAMN00809119	AIZS00000000.1	na	1158542	1351	Enterococcus faecalis EnGen0232	strain=UAA948	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_UAA948_V1	Broad Institute	GCA_000396905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/905/GCF_000396905.1_Ente_faec_UAA948_V1	NA	NA	faecalis	Enterococcus	UAA948
GCF_000396985.1	PRJNA224116	SAMN00809144	AIZW00000000.1	na	1158546	1351	Enterococcus faecalis EnGen0233	strain=UAA1014	NA	latest	Scaffold	Major	Full	15/5/2013	Ente_faec_UAA1014_V1	Broad Institute	GCA_000396985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/985/GCF_000396985.1_Ente_faec_UAA1014_V1	NA	NA	faecalis	Enterococcus	UAA1014
GCF_000414985.1	PRJNA224116	SAMN02436774	ATIE00000000.1	na	1260366	1351	Enterococcus faecalis KI-6-1-110608-1	strain=KI-6-1-110608-1	NA	latest	Scaffold	Major	Full	26/6/2013	ASM41498v1	The Genome Institute	GCA_000414985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/414/985/GCF_000414985.1_ASM41498v1	NA	NA	faecalis	Enterococcus	KI_6_1_110608_1
GCF_000415005.1	PRJNA224116	SAMN02436913	ATIF00000000.1	na	1260365	1351	Enterococcus faecalis 02-MB-P-10	strain=02-MB-P-10	NA	latest	Scaffold	Major	Full	26/6/2013	ASM41500v1	The Genome Institute	GCA_000415005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/005/GCF_000415005.1_ASM41500v1	NA	NA	faecalis	Enterococcus	02_MB_P_10
